id,hts_8digit,material_type,chapter_99_claim,chapter_99_disclaim,duty_rate,country_code,article_type,effective_start,effective_end,source_doc,source_doc_id,created_at,created_by
1,74061000,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528121,populate_tariff_tables.py v13.0
2,74091990,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528127,populate_tariff_tables.py v13.0
3,74130010,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528128,populate_tariff_tables.py v13.0
4,74062000,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528128,populate_tariff_tables.py v13.0
5,74092100,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528129,populate_tariff_tables.py v13.0
6,74130050,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528130,populate_tariff_tables.py v13.0
7,74071015,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528130,populate_tariff_tables.py v13.0
8,74092900,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528131,populate_tariff_tables.py v13.0
9,74130090,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528132,populate_tariff_tables.py v13.0
10,74071030,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528133,populate_tariff_tables.py v13.0
11,74093110,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528133,populate_tariff_tables.py v13.0
12,74151000,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528134,populate_tariff_tables.py v13.0
13,74071050,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528134,populate_tariff_tables.py v13.0
14,74093150,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528135,populate_tariff_tables.py v13.0
15,74152100,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528135,populate_tariff_tables.py v13.0
16,74072115,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528136,populate_tariff_tables.py v13.0
17,74093190,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528136,populate_tariff_tables.py v13.0
18,74152900,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528137,populate_tariff_tables.py v13.0
19,74072130,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528137,populate_tariff_tables.py v13.0
20,74093910,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528138,populate_tariff_tables.py v13.0
21,74153305,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528138,populate_tariff_tables.py v13.0
22,74072150,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528139,populate_tariff_tables.py v13.0
23,74093950,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528140,populate_tariff_tables.py v13.0
24,74153310,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528140,populate_tariff_tables.py v13.0
25,74072170,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528140,populate_tariff_tables.py v13.0
26,74093990,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528141,populate_tariff_tables.py v13.0
27,74153380,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528142,populate_tariff_tables.py v13.0
28,74072190,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528142,populate_tariff_tables.py v13.0
29,74094000,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528143,populate_tariff_tables.py v13.0
30,74153900,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528143,populate_tariff_tables.py v13.0
31,74072916,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528144,populate_tariff_tables.py v13.0
32,74099010,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528144,populate_tariff_tables.py v13.0
33,74181000,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528145,populate_tariff_tables.py v13.0
34,74072934,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528145,populate_tariff_tables.py v13.0
35,74099050,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528146,populate_tariff_tables.py v13.0
36,74182010,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528147,populate_tariff_tables.py v13.0
37,74072938,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528148,populate_tariff_tables.py v13.0
38,74099090,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528148,populate_tariff_tables.py v13.0
39,74182050,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528148,populate_tariff_tables.py v13.0
40,74072940,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528149,populate_tariff_tables.py v13.0
41,74101100,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528149,populate_tariff_tables.py v13.0
1601,84181000,steel,,,0.2500,,,2025-06-23,,2025-11067,,2026-01-19T07:05:03.727537,system
42,74192000,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528150,populate_tariff_tables.py v13.0
43,74072950,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528150,populate_tariff_tables.py v13.0
44,74101200,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528151,populate_tariff_tables.py v13.0
45,74198003,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528151,populate_tariff_tables.py v13.0
46,74081130,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528151,populate_tariff_tables.py v13.0
47,74102130,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528152,populate_tariff_tables.py v13.0
48,74198006,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528152,populate_tariff_tables.py v13.0
49,74081160,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528153,populate_tariff_tables.py v13.0
50,74102160,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528153,populate_tariff_tables.py v13.0
51,74198009,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528154,populate_tariff_tables.py v13.0
52,74081900,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528154,populate_tariff_tables.py v13.0
53,74102200,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528154,populate_tariff_tables.py v13.0
54,74198015,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528155,populate_tariff_tables.py v13.0
55,74082100,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528155,populate_tariff_tables.py v13.0
56,74111010,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528156,populate_tariff_tables.py v13.0
57,74198016,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528156,populate_tariff_tables.py v13.0
58,74082210,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528157,populate_tariff_tables.py v13.0
59,74111050,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528157,populate_tariff_tables.py v13.0
60,74198017,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528157,populate_tariff_tables.py v13.0
61,74082250,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528158,populate_tariff_tables.py v13.0
62,74112110,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528158,populate_tariff_tables.py v13.0
63,74198030,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528159,populate_tariff_tables.py v13.0
64,74082910,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528159,populate_tariff_tables.py v13.0
65,74112150,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528160,populate_tariff_tables.py v13.0
66,74198050,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528160,populate_tariff_tables.py v13.0
67,74082950,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528160,populate_tariff_tables.py v13.0
