hts_8digit,hts_10digit,chapter_99_code,duty_rate,list_name,effective_start,effective_end,source_doc
28452000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
28453000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
28454000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
28459001,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
40113000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
40121300,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84011000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84012000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84013000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84014000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84021100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84021200,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84021900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84022000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84029000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84042000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84049000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84051000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84059000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84061010,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84061090,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84068190,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84068290,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84071000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84072100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84072900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84081000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84089010,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84089090,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84091000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84101100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84101200,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84101300,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84109000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84111140,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84111180,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84111240,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84111280,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84112140,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84112180,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84112240,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84112280,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84118140,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84118180,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84118240,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84118280,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
