id,hts_8digit,hts_10digit,chapter_99_code,duty_rate,effective_start,effective_end,list_name,sector,product_group,description,source_doc,source_doc_id,supersedes_id,superseded_by_id,role,created_at,created_by
1,01012100,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774836,
2,01012900,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774840,
3,01013000,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774840,
4,01019030,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774841,
5,01019040,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774841,
6,01022100,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774842,
7,01022920,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774842,
8,01022940,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774843,
9,01023100,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774843,
10,01023900,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774843,
11,01029000,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774844,
12,01031000,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774844,
13,01039100,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774844,
14,01039200,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774845,
15,01041000,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774845,
16,01042000,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774846,
17,01051100,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774846,
18,01051200,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774846,
19,01051300,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774846,
20,01051400,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774847,
21,01051500,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774847,
22,01059400,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774847,
23,01059900,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774847,
24,01061100,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774848,
25,01061201,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774848,
26,01061300,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774849,
27,01061400,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774849,
28,01061930,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774849,
29,01061991,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774850,
30,01062000,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774850,
31,01063100,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774850,
32,01063200,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774851,
33,01063300,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774851,
34,01063901,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774851,
35,01064100,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774851,
36,01064900,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774852,
37,01069001,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774852,
38,02011005,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774853,
39,02011010,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774853,
40,02011050,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774853,
41,02012002,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774854,
42,02012004,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774854,
43,02012006,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774854,
44,02012010,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774855,
45,02012030,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774855,
46,02012050,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774855,
47,02012080,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774856,
48,02013002,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774856,
49,02013004,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774857,
50,02013006,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774857,
51,02013010,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774857,
52,02013030,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774857,
53,02013050,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774858,
54,02013080,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774858,
55,02021005,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774858,
56,02021010,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774859,
57,02021050,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774859,
58,02022002,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774859,
59,02022004,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774859,
60,02022006,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774860,
61,02022010,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774860,
62,02022030,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774860,
63,02022050,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774861,
64,02022080,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774861,
65,02023002,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774861,
66,02023004,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774861,
67,02023006,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774862,
68,02023010,,9903.88.15,0.0750,2020-02-14,,list_4A,,,,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,,,,impose,2026-01-20T02:41:01.774862,
