hts_8digit,description,unit,general_rate_raw,general_ad_valorem_rate,special_rate_raw,other_rate_raw,edition_label,generated_at,conflict_count_same_8digit
01012100,Purebred breeding animals,,Free,0.0,,Free,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01012900,Other,,Free,0.0,,20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01013000,Asses,"[""No.""]",6.8%,0.068,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",15%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01019030,Imported for immediate slaughter,"[""No.""]",Free,0.0,,Free,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01019040,Other,"[""No.""]",4.5%,0.045,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01022100,Purebred breeding animals,,Free,0.0,,Free,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01022920,Cows imported specially for dairy purposes,,Free,0.0,,6.6¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01022940,Other,,1¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01023100,Purebred breeding animals,,Free,0.0,,Free,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01023900,Other,,1¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01029000,Other,"[""No."",""kg""]",1¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01031000,Purebred breeding animals,"[""No.""]",Free,0.0,,Free,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01039100,Weighing less than 50 kg each,,Free,0.0,,4.4¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01039200,Weighing 50 kg or more each,,Free,0.0,,4.4¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01041000,Sheep,"[""No."",""kg""]",Free,0.0,,$3/head,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01042000,Goats,"[""No.""]",68¢/head,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",$3/head,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01051100,Chickens,,0.9¢ each,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR, MA,OM, P,PA,PE,S,SG)",4¢ each,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01051200,Turkeys,"[""No.""]",0.9¢ each,,"Free (A+,AU,BH, CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",4¢ each,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01051300,Ducks,"[""No.""]",0.9¢ each,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",4¢ each,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01051400,Geese,"[""No.""]",0.9¢ each,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",4¢ each,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01051500,Guinea fowls,"[""No.""]",0.9¢ each,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",4¢ each,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01059400,Chickens,"[""No."",""kg""]",2¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",17.6¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01059900,Other,"[""No."",""kg""]",2¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",17.6¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01061100,Primates,"[""No.""]",Free,0.0,,15%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01061201,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","[""No.""]",Free,0.0,,15%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01061300,Camels and other camelids (Camelidae),"[""No.""]",Free,0.0,,15%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01061400,Rabbits and hares,"[""No.""]",Free,0.0,,15%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01061930,Foxes,"[""No.""]",4.8%,0.048,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",15%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01061991,Other,,Free,0.0,,15%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01062000,Reptiles (including snakes and turtles),"[""No.""]",Free,0.0,,15%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01063100,Birds of prey,"[""No.""]",1.8%,0.018000000000000002,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01063200,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)","[""No.""]",1.8%,0.018000000000000002,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01063300,Ostriches; emus (Dromaius novaehollandiae),"[""No.""]",1.8%,0.018000000000000002,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01063901,Other,"[""No.""]",1.8%,0.018000000000000002,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01064100,Bees,"[""kg""]",Free,0.0,,15%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01064900,Other,,Free,0.0,,15%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
01069001,Other,,Free,0.0,,15%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02011005,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,,4.4¢/kg,,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",13.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02011010,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions,,4.4¢/kg,,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02011050,Other,,26.4%,0.264,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 1.7% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",31.1%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02012002,High-quality beef cuts,"[""kg""]",4%,0.04,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02012004,Other,"[""kg""]",10%,0.1,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02012006,Other,"[""kg""]",4.4¢/kg,,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",13.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02012010,High-quality beef cuts,"[""kg""]",4%,0.04,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02012030,Other,"[""kg""]",10%,0.1,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02012050,Other,,4.4¢/kg,,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
