hts_code,hts_8digit,description,product_group,chapter_99_code,rate,effective_date,source_doc
8507.90.40,85079040,"Parts of lead-acid storage batteries, including separators therefor",Battery Parts (Non-lithium-ion Batteries),9903.91.03,0.2500,2024-09-27,2024-21217
8702.40.31,87024031,"Motor vehicles w/electric motor, to transport 16 or more persons, incl driver",Electric Vehicles,9903.91.02,1.0000,2024-09-27,2024-21217
8702.40.61,87024061,"Motor vehicles w/electric motor, to transport 10 to 15 persons, incl driver",Electric Vehicles,9903.91.02,1.0000,2024-09-27,2024-21217
8702.90.31,87029031,"Motor vehicles nesoi, to transport 16 or more persons, incl driver",Electric Vehicles,9903.91.02,1.0000,2024-09-27,2024-21217
8702.90.61,87029061,"Motor vehicles nesoi, to transport 10 to 15 persons, incl driver",Electric Vehicles,9903.91.02,1.0000,2024-09-27,2024-21217
8703.60.00,87036000,"Motor vehicles to transport persons, w/spark-ign. IC recip. piston engine & elec motor capable of charge by plug to external source",Electric Vehicles,9903.91.02,1.0000,2024-09-27,2024-21217
8703.70.00,87037000,"Motor vehicles to transport persons, w/diesel engine & elec motor capable of charge by plug to external source",Electric Vehicles,9903.91.02,1.0000,2024-09-27,2024-21217
8703.80.00,87038000,"Motor vehicles to transport persons, w/electric motor for propulsion",Electric Vehicles,9903.91.02,1.0000,2024-09-27,2024-21217
8703.90.01,87039001,"Motor vehicles to transport persons, nesoi",Electric Vehicles,9903.91.02,1.0000,2024-09-27,2024-21217
6307.90.9842,63079098,Surgical N95 Respirators of Textile,Facemasks,9903.91.01,0.2500,2024-09-27,2024-21217
6307.90.9842,63079098,Surgical N95 Respirators of Textile,Facemasks,9903.91.07,0.5000,2026-01-01,2024-21217
6307.90.9844,63079098,Non-surgical N95 Respirators of Textiles,Facemasks,9903.91.01,0.2500,2024-09-27,2024-21217
6307.90.9844,63079098,Non-surgical N95 Respirators of Textiles,Facemasks,9903.91.07,0.5000,2026-01-01,2024-21217
6307.90.9850,63079098,"Respirators of Textiles, Other than N95",Facemasks,9903.91.01,0.2500,2024-09-27,2024-21217
6307.90.9850,63079098,"Respirators of Textiles, Other than N95",Facemasks,9903.91.07,0.5000,2026-01-01,2024-21217
6307.90.9870,63079098,"Face Masks of Textiles, Disposable",Facemasks,9903.91.04,0.2500,2025-01-01,2024-21217
6307.90.9870,63079098,"Face Masks of Textiles, Disposable",Facemasks,9903.91.07,0.5000,2026-01-01,2024-21217
6307.90.9875,63079098,"Face Masks of Textiles, Other than Disposable",Facemasks,9903.91.01,0.2500,2024-09-27,2024-21217
6307.90.9875,63079098,"Face Masks of Textiles, Other than Disposable",Facemasks,9903.91.07,0.5000,2026-01-01,2024-21217
8507.60.0010,85076000,"Lithium-ion batteries of a kind used as the primary source of electrical power for electrically powered vehicles of subheadings 8703.40, 8703.50, 8703.60, 8703.70 or 8703.80",Lithium-ion Electrical Vehicle Batteries,9903.91.01,0.2500,2024-09-27,2024-21217
8507.60.0020,85076000,Lithium-ion batteries: Other,Lithium-ion Non-electrical Vehicle Batteries,9903.91.06,0.2500,2026-01-01,2024-21217
4015.12.10,40151210,Medical or surgical gloves of vulcanized rubber other than hard rubber,Medical Gloves,9903.91.08,0.5000,2025-01-01,2024-21217
4015.12.10,40151210,Medical or surgical gloves of vulcanized rubber other than hard rubber,Medical Gloves,9903.91.08,1.0000,2026-01-01,2024-21217
2504.10.10,25041010,"Natural graphite, crystalline flake (not including flake dust)",Natural Graphite,9903.91.06,0.2500,2026-01-01,2024-21217
2504.10.50,25041050,Natural graphite in powder or flakes (other than crystalline flake),Natural Graphite,9903.91.06,0.2500,2026-01-01,2024-21217
2504.90.00,25049000,"Natural graphite, other than in powder or in flakes",Natural Graphite,9903.91.06,0.2500,2026-01-01,2024-21217
2602.00.00,26020000,Manganese ores and concentrates including ferruginous manganese ores & concentrates with manganese content over 20% calculated on dry weight,Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
2605.00.00,26050000,Cobalt ores and concentrates,Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
2606.00.00,26060000,Aluminum ores and concentrates,Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
2608.00.00,26080000,Zinc ores and concentrates,Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
2610.00.00,26100000,Chromium ores and concentrates,Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
2611.00.60,26110060,Tungsten concentrates,Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
2825.90.30,28259030,Tungsten oxides,Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
2841.80.00,28418000,Tungstates (wolframates),Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
2844.41.00,28444100,"Tritium and its compounds, alloys, dispersions, ceramic products and mixtures thereof",Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
2844.42.00,28444200,"Actinium, californium, curium, einsteinium, gadolinium, polonium, radium, uranium & their compounds, alloys, dispersions, ceramic products & mixtures",Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
2844.43.00,28444300,"Other radioactive elements, isotopes, compounds, nesoi; alloys, dispersions, ceramic products and mixtures thereof",Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
2844.44.00,28444400,Radioactive residues,Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
2849.90.30,28499030,Tungsten carbide,Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
7202.60.00,72026000,Ferronickel,Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
7202.93.40,72029340,Ferroniobium containing by weight less than 0.02 percent of phosphorus or sulfur or less than 0.4 percent of silicon,Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
7202.93.80,72029380,"Ferroniobium, nesoi",Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
7901.11.00,79011100,"Zinc (o/than alloy), unwrought, containing o/99.99% by weight of zinc",Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
7901.12.10,79011210,"Zinc (o/than alloy), unwrought, casting-grade zinc, containing at least 97.5% but less than 99.99% by weight of zinc",Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
7901.12.50,79011250,"Zinc (o/than alloy), unwrought, o/than casting-grade zinc, containing at least 97.5% but less than 99.99% by wt. of zinc",Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
7901.20.00,79012000,"Zinc alloy, unwrought",Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
8001.10.00,80011000,"Tin (o/than alloy), unwrought",Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
8001.20.00,80012000,"Tin alloy, unwrought",Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
8101.10.00,81011000,"Tungsten, powders",Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
8103.20.00,81032000,"Tantalum, unwrought (including bars and rods obtained simply by sintering); tantalum powders",Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
8112.21.00,81122100,"Chromium, unwrought; chromium powders",Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
8112.92.30,81129230,"Indium, unwrought; indium powders",Other Critical Minerals,9903.91.03,0.2500,2024-09-27,2024-21217
8505.11.00,85051100,"Permanent magnets and articles intended to become permanent magnets after magnetization, of metal",Permanent Magnets,9903.91.06,0.2500,2026-01-01,2024-21217
8541.10.00,85411000,"Diodes, other than photosensitive or light-emitting diodes",Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8541.21.00,85412100,"Transistors, other than photosensitive transistors, with a dissipation rating of less than 1 W",Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8541.29.00,85412900,"Transistors, other than photosensitive transistors, with a dissipation rating of 1 W or more",Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8541.30.00,85413000,"Thyristors, diacs and triacs, other than photosensitive devices",Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8541.49.10,85414910,"Other photosensitive semiconductor diodes, other than light-emitting",Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8541.49.70,85414970,Photosensitive transistors,Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8541.49.80,85414980,"Photosensitive semiconductor devices nesoi, optical coupled isolators",Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8541.49.95,85414995,"Other photosensitive semiconductor devices, other than diodes or transistors, nesoi",Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8541.51.00,85415100,"Other semiconductor-based transducers, other than photosensitive transducers",Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8541.59.00,85415900,"Other semiconductor devices, other than semiconductor-based transducers, other than photosensitive devices, nesoi",Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8541.90.00,85419000,"Parts of diodes, transistors, similar semiconductor devices, photosensitive semiconductor devices, LED's and mounted piezoelectric crystals",Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8542.31.00,85423100,Electronic integrated circuits: processors and controllers,Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8542.32.00,85423200,Electronic integrated circuits: memories,Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8542.33.00,85423300,Electronic integrated circuits: amplifiers,Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8542.39.00,85423900,Electronic integrated circuits: other,Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8542.90.00,85429000,Parts of electronic integrated circuits and microassemblies,Semiconductors,9903.91.05,0.5000,2025-01-01,2024-21217
8541.42.00,85414200,"Photovoltaic cells, not assembled in modules or made up into panels",Solar Cells (whether or not assembled into modules),9903.91.02,0.5000,2024-09-27,2024-21217
8541.43.00,85414300,Photovoltaic cells assembled in modules or made up into panels,Solar Cells (whether or not assembled into modules),9903.91.02,0.5000,2024-09-27,2024-21217
7206.10.00,72061000,Iron and nonalloy steel ingots,Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7206.90.00,72069000,Iron and nonalloy steel in primary forms (o/than ingots),Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7207.11.00,72071100,"Iron or nonalloy steel semifinished products, w/less than 0.25% carbon, w/rect. cross sect.(incl. sq.), w/width less than twice thickness",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7207.12.00,72071200,"Iron or nonalloy steel semifinished products, w/less than 0.25% carbon, w/rect. cross sect. (exclud. sq.), nesoi",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7207.19.00,72071900,"Iron or nonalloy steel semifinished products, w/less than 0.25% carbon, o/than w/rect. cross section",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7207.20.00,72072000,"Iron or nonalloy steel semifinished products, w/0.25% or more of carbon",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7208.10.15,72081015,"Iron/nonalloy steel, width 600mm+,  hot-rolled flat-rolled products, w/patterns in relief, in coils, pickled, not clad/plated/coated",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7208.10.30,72081030,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled product, in coil, w/pattern in relief, w/thick 4.75mm+, not pickld, not clad/plated/coatd",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7208.10.60,72081060,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled product, in coil, w/pattern in relief, w/thick <4.75mm, not pickld, not clad/plated/coatd",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7208.25.30,72082530,"Nonalloy hi-strength steel, width 600mm+, hot-rolled flat-rolled products, in coils, w/thick 4.75mm+, pickled, not clad/plated/coated",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7208.25.60,72082560,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, in coils, w/thick 4.7mm or more, pickled, not clad/plated/coated",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7208.26.00,72082600,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, in coils, w/thick 3mm or mor but less 4.75mm, pickled, not clad/plated",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7208.27.00,72082700,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, in coils, w/thick less than 3mm, pickled, not clad/plated/coated",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7208.36.00,72083600,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, in coils, w/thick o/10mm, not pickled/clad/plated/coated",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7208.37.00,72083700,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, in coils, w/thick 4.75mm or more & n/o 10mm, not pickled/clad/plated",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7208.38.00,72083800,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, in coils, w/thick 3mm or more & less 4.75mm, not pickld/clad/plated",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7208.39.00,72083900,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, in coils, w/thick less than 3mm, not pickled/clad/plated/coated",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
7208.40.30,72084030,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, w/pattern in relief, not coils, w/thick 4.75 or more, n/clad/plated/coated",Steel and Aluminum Products,9903.91.03,0.2500,2024-09-27,2024-21217
