hts_code,hts_digits,hts_8digit,hts_10digit,list_name,chapter_99_code,rate,effective_start,status,source_pdf
2710.19.30,27101930,27101930,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
2710.19.35,27101935,27101935,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
2710.19.40,27101940,27101940,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
2845.90.00,28459000,28459000,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3403.19.10,34031910,34031910,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3403.19.50,34031950,34031950,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3403.99.00,34039900,34039900,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3811.21.00,38112100,38112100,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3811.29.00,38112900,38112900,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3901.10.10,39011010,39011010,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3901.10.50,39011050,39011050,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3901.20.10,39012010,39012010,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3901.20.50,39012050,39012050,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3901.30.20,39013020,39013020,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3901.30.60,39013060,39013060,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3901.90.10,39019010,39019010,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3901.90.55,39019055,39019055,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3901.90.90,39019090,39019090,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3902.10.00,39021000,39021000,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
3902.20.10,39022010,39022010,,list_1,9903.88.01,0.25,2018-07-06,active,FR-2018-06-20_2018-13248_List1.pdf
